,product_id,fit,more_sustainable_materials,product_name,product_price,color_name,style_id,color_id,scrapy_datetime,size_number,size_model,cotton,polyester,elastane,elasterell
81,0985159006,skinny_fit,Recycled cotton 20%,skinny_jeans,19.99,dark_denim_blue,0985159,006,2021-10-16 22:13:23,187,32/32,0.99,0.65,0.01,0.0
82,0751994009,slim_fit,,slim_jeans,29.99,dark_blue_denim,0751994,009,2021-10-16 22:13:23,,,0.98,0.0,0.02,0.0
83,0751994001,slim_fit,,slim_jeans,11.99,dark_gray,0751994,001,2021-10-16 22:13:23,,,0.99,0.0,0.01,0.0
84,0751994003,slim_fit,,slim_jeans,13.99,light_denim_blue,0751994,003,2021-10-16 22:13:23,,,0.98,0.0,0.02,0.0
85,0751994004,slim_fit,,slim_jeans,16.99,dark_denim_blue,0751994,004,2021-10-16 22:13:23,,,0.98,0.0,0.02,0.0
86,0751994005,slim_fit,,slim_jeans,20.99,dark_blue,0751994,005,2021-10-16 22:13:23,,,0.98,0.0,0.02,0.0
87,0751994006,slim_fit,,slim_jeans,14.99,denim_blue,0751994,006,2021-10-16 22:13:23,,,0.98,0.0,0.02,0.0
88,0751994007,slim_fit,,slim_jeans,22.99,black/washed_out,0751994,007,2021-10-16 22:13:23,,,0.98,0.0,0.02,0.0
89,0751994010,slim_fit,,slim_jeans,29.99,dark_gray,0751994,010,2021-10-16 22:13:23,,,0.98,0.0,0.02,0.0
90,0751994014,slim_fit,,slim_jeans,17.99,light_gray,0751994,014,2021-10-16 22:13:23,,,0.98,0.0,0.02,0.0
91,0751994016,slim_fit,,slim_jeans,15.99,dark_blue,0751994,016,2021-10-16 22:13:23,,,0.98,0.0,0.02,0.0
92,0751994017,slim_fit,,slim_jeans,16.99,dark_denim_blue,0751994,017,2021-10-16 22:13:23,,,0.98,0.0,0.02,0.0
93,0751994018,slim_fit,,slim_jeans,29.99,denim_blue,0751994,018,2021-10-16 22:13:23,,,0.98,0.0,0.02,0.0
94,0751994024,slim_fit,,slim_jeans,29.99,black_denim,0751994,024,2021-10-16 22:13:23,187,31/32,0.98,0.0,0.02,0.0
95,0751994031,slim_fit,,slim_jeans,29.99,light_blue,0751994,031,2021-10-16 22:13:23,187,31/32,0.99,0.0,0.01,0.0
96,0751994034,slim_fit,Recycled cotton 20%,slim_jeans,29.99,dark_blue,0751994,034,2021-10-16 22:13:23,189,32/32,0.99,0.0,0.01,0.0
97,0974597001,slim_fit,Recycled cotton 20%,slim_tapered_jeans,29.99,denim_blue,0974597,001,2021-10-16 22:13:23,186,31/32,1.0,0.0,0.01,0.0
98,0974597002,slim_fit,Recycled cotton 20%,slim_tapered_jeans,29.99,denim_blue,0974597,002,2021-10-16 22:13:23,,,1.0,0.0,0.01,0.0
99,0974597003,slim_fit,Recycled cotton 21%,slim_tapered_jeans,29.99,black,0974597,003,2021-10-16 22:13:23,,,0.98,0.65,0.02,0.0
100,0974597005,slim_fit,Recycled cotton 20%,slim_tapered_jeans,29.99,light_denim_blue,0974597,005,2021-10-16 22:13:23,187,32/32,1.0,0.0,0.01,0.0
101,0974597006,slim_fit,Recycled cotton 20%,slim_tapered_jeans,29.99,dark_gray,0974597,006,2021-10-16 22:13:23,,,1.0,0.0,0.02,0.0
102,1013317001,regular_fit,Recycled cotton 20%,hybrid_regular_tapered_joggers,39.99,light_denim_blue,1013317,001,2021-10-16 22:13:23,,,0.77,0.21,0.02,0.0
103,1013317002,regular_fit,Recycled cotton 19%,hybrid_regular_tapered_joggers,39.99,denim_blue,1013317,002,2021-10-16 22:13:23,189,,0.78,0.21,0.01,0.0
104,1013317004,regular_fit,Recycled cotton 20%,hybrid_regular_tapered_joggers,39.99,black,1013317,004,2021-10-16 22:13:23,,,0.78,0.21,0.01,0.0
105,1013317005,regular_fit,Recycled polyester 19%,hybrid_regular_tapered_joggers,39.99,dark_gray,1013317,005,2021-10-16 22:13:23,,,0.79,0.19,0.02,0.0
106,1008549006,regular_fit,Recycled cotton 20%,regular_jeans,19.99,black,1008549,006,2021-10-16 22:13:23,,,1.0,0.0,0.01,0.0
107,1008549001,regular_fit,Recycled cotton 20%,regular_jeans,19.99,light_denim_blue,1008549,001,2021-10-16 22:13:23,189,32/32,0.98,0.65,0.02,0.0
108,1008549002,regular_fit,Recycled cotton 20%,regular_jeans,19.99,denim_blue,1008549,002,2021-10-16 22:13:23,183,32/32,0.99,0.65,0.01,0.0
109,1008549004,regular_fit,Recycled cotton 20%,regular_jeans,19.99,dark_blue,1008549,004,2021-10-16 22:13:23,189,32/32,0.99,0.63,0.01,0.0
